	5457	4233	233	0
	75243	62189	2201	0
	967146	823116	25043	0
	5457	4585	149	0
	75243	64953	1871	0
	967146	732029	22179	0
	5457	0	120	0
	75243	0	3352	0
	967146	0	13796	0
	5457	2372	104	0
	75243	43621	5420	0
	967146	636306	22412	0
bubbleSort	5457	4233	223	0
bubbleSort	75243	62189	1929	0
bubbleSort	967146	823116	25745	0
bubbleSort	5457	4585	216	0
bubbleSort	75243	64953	1833	0
bubbleSort	967146	732029	22135	0
bubbleSort	5457	0	102	0
bubbleSort	75243	0	921	0
bubbleSort	967146	0	13367	0
bubbleSort	5457	2372	126	0
bubbleSort	75243	43621	1731	0
bubbleSort	967146	636306	22068	0
insertionSort	5457	4233	152	0
insertionSort	75243	62189	2507	0
insertionSort	967146	823116	25114	0
insertionSort	5457	4585	135	0
insertionSort	75243	64953	1806	0
insertionSort	967146	732029	22756	0
insertionSort	5457	0	69	0
insertionSort	75243	0	919	0
insertionSort	967146	0	13156	0
insertionSort	5457	2372	122	0
insertionSort	75243	43621	1803	0
insertionSort	967146	636306	22559	0
selectionSort	5457	4233	1839	0
selectionSort	75243	62189	2136	0
selectionSort	967146	823116	25911	0
selectionSort	5457	4585	168	0
selectionSort	75243	64953	2241	0
selectionSort	967146	732029	22348	0
selectionSort	5457	0	122	0
selectionSort	75243	0	1075	0
selectionSort	967146	0	13239	0
selectionSort	5457	2372	149	0
selectionSort	75243	43621	1727	0
selectionSort	967146	636306	22508	0
