bubbleSort	499500	253680	8180	0
bubbleSort	49995000	24691294	820511	0
bubbleSort	275485974	321739666	79800770	0
bubbleSort	499500	499500	9154	0
bubbleSort	49995000	49995000	892827	0
bubbleSort	275485974	275485974	91827458	0
bubbleSort	499500	0	4165	0
bubbleSort	49995000	0	390912	0
bubbleSort	275485974	0	39091522	0
bubbleSort	499500	26981	4606	0
bubbleSort	49995000	3069699	441010	0
bubbleSort	275485974	308491124	44128057	0
insertionSort	253680	253680	4119	0
insertionSort	24691294	24691294	394630	0
insertionSort	321739666	321739666	38130334	0
insertionSort	499500	499500	7980	0
insertionSort	49995000	49995000	771384	0
insertionSort	275485974	275485974	77135459	0
insertionSort	0	0	8	0
insertionSort	0	0	177	0
insertionSort	0	0	1065	0
insertionSort	26981	26981	637	0
insertionSort	3069699	3069699	48162	0
insertionSort	308491124	308491124	4753298	0
selectionSort	499500	976	4093	0
selectionSort	49995000	9820	382138	0
selectionSort	275485974	98138	38049206	0
selectionSort	499500	500	4203	0
selectionSort	49995000	5000	395395	0
selectionSort	275485974	50000	39363407	0
selectionSort	499500	0	4040	0
selectionSort	49995000	0	380786	0
selectionSort	275485974	0	38039343	0
selectionSort	499500	49	4024	0
selectionSort	49995000	8593	381029	0
selectionSort	275485974	5000	38046586	0
shellSort	5457	4233	234	0
shellSort	75243	62189	1567	0
shellSort	967146	823116	18779	0
shellSort	5457	4585	176	0
shellSort	75243	64953	1460	0
shellSort	967146	732029	16009	0
shellSort	5457	0	125	0
shellSort	75243	0	802	0
shellSort	967146	0	8191	0
shellSort	5457	2372	168	0
shellSort	75243	43621	1425	0
shellSort	967146	636306	17326	0
mergeSort	9512	9250	366	0
mergeSort	131328	127501	2883	0
mergeSort	1665536	1617257	34391	0
mergeSort	9512	9488	279	0
mergeSort	131328	129520	2065	0
mergeSort	1665536	1634464	25117	0
mergeSort	9512	9000	291	0
mergeSort	131328	125424	2124	0
mergeSort	1665536	1600000	24947	0
mergeSort	9512	9053	303	0
mergeSort	131328	125803	2161	0
mergeSort	1665536	1603161	25642	0
quickSort	11418	6009	360	0
quickSort	157993	80801	2677	0
quickSort	2048120	1072366	32817	0
quickSort	9028	4884	265	0
quickSort	124099	66110	1808	0
quickSort	1577627	835708	20454	0
quickSort	8498	4449	185	0
quickSort	119535	60517	1648	0
quickSort	1534481	780565	18827	0
quickSort	10415	6260	304	0
quickSort	158399	91508	2395	0
quickSort	2269316	1395205	31983	0
