	5457	4233	245	0
	75243	62189	2321	0
	967146	823116	25696	0
	5457	4585	128	0
	75243	64953	1745	0
	967146	732029	23360	0
	5457	0	65	0
	75243	0	885	0
	967146	0	11875	0
	5457	2372	110	0
	75243	43621	2178	0
	967146	636306	23424	0
bubbleSort	5457	4233	153	0
bubbleSort	75243	62189	2025	0
bubbleSort	967146	823116	24567	0
bubbleSort	5457	4585	125	0
bubbleSort	75243	64953	1808	0
bubbleSort	967146	732029	25320	0
bubbleSort	5457	0	61	0
bubbleSort	75243	0	909	0
bubbleSort	967146	0	12763	0
bubbleSort	5457	2372	114	0
bubbleSort	75243	43621	1845	0
bubbleSort	967146	636306	23335	0
insertionSort	5457	4233	142	0
insertionSort	75243	62189	2104	0
insertionSort	967146	823116	28502	0
insertionSort	5457	4585	110	0
insertionSort	75243	64953	2216	0
insertionSort	967146	732029	23183	0
insertionSort	5457	0	134	0
insertionSort	75243	0	983	0
insertionSort	967146	0	13669	0
insertionSort	5457	2372	124	0
insertionSort	75243	43621	1752	0
insertionSort	967146	636306	23687	0
selectionSort	5457	4233	228	0
selectionSort	75243	62189	1890	0
selectionSort	967146	823116	28221	0
selectionSort	5457	4585	123	0
selectionSort	75243	64953	1841	0
selectionSort	967146	732029	24920	0
selectionSort	5457	0	304	0
selectionSort	75243	0	1029	0
selectionSort	967146	0	13188	0
selectionSort	5457	2372	154	0
selectionSort	75243	43621	9078	0
selectionSort	967146	636306	23552	0
