bubbleSort	5457	4233	119	1000
bubbleSort	75243	62189	3405	10000
bubbleSort	967146	823116	25901	100000
bubbleSort	5457	4585	110	1000
bubbleSort	75243	64953	1732	10000
bubbleSort	967146	732029	21683	100000
bubbleSort	5457	0	111	1000
bubbleSort	75243	0	917	10000
bubbleSort	967146	0	13418	100000
bubbleSort	5457	2372	174	1000
bubbleSort	75243	43621	3763	10000
bubbleSort	967146	636306	22330	100000
insertionSort	5457	4233	193	1000
insertionSort	75243	62189	2481	10000
insertionSort	967146	823116	23246	100000
insertionSort	5457	4585	161	1000
insertionSort	75243	64953	1547	10000
insertionSort	967146	732029	20113	100000
insertionSort	5457	0	91	1000
insertionSort	75243	0	900	10000
insertionSort	967146	0	11418	100000
insertionSort	5457	2372	451	1000
insertionSort	75243	43621	1534	10000
insertionSort	967146	636306	23433	100000
selectionSort	5457	4233	168	1000
selectionSort	75243	62189	4882	10000
selectionSort	967146	823116	26576	100000
selectionSort	5457	4585	163	1000
selectionSort	75243	64953	2363	10000
selectionSort	967146	732029	24339	100000
selectionSort	5457	0	79	1000
selectionSort	75243	0	920	10000
selectionSort	967146	0	14034	100000
selectionSort	5457	2372	199	1000
selectionSort	75243	43621	1558	10000
selectionSort	967146	636306	22817	100000
shellSort	5457	4233	120	1000
shellSort	75243	62189	1697	10000
shellSort	967146	823116	24449	100000
shellSort	5457	4585	158	1000
shellSort	75243	64953	1809	10000
shellSort	967146	732029	29457	100000
shellSort	5457	0	61	1000
shellSort	75243	0	1019	10000
shellSort	967146	0	13442	100000
shellSort	5457	2372	152	1000
shellSort	75243	43621	2186	10000
shellSort	967146	636306	22521	100000
