bubbleSort	499500	253680	8071	1000
bubbleSort	49995000	24691294	796765	10000
bubbleSort	704982704	2469223314	86070508	100000
bubbleSort	499500	499500	10111	1000
bubbleSort	49995000	49995000	975876	10000
bubbleSort	704982704	704982704	98501574	100000
bubbleSort	499500	0	4235	1000
bubbleSort	49995000	0	389538	10000
bubbleSort	704982704	0	40648241	100000
bubbleSort	499500	26981	4949	1000
bubbleSort	49995000	3069699	463260	10000
bubbleSort	704982704	308491124	46339181	100000
insertionSort	253680	253680	4306	1000
insertionSort	24691294	24691294	417380	10000
insertionSort	2469223314	2469223314	40693890	100000
insertionSort	499500	499500	14307	1000
insertionSort	49995000	49995000	840319	10000
insertionSort	704982704	704982704	83022435	100000
insertionSort	0	0	8	1000
insertionSort	0	0	164	10000
insertionSort	0	0	967	100000
insertionSort	26981	26981	582	1000
insertionSort	3069699	3069699	50123	10000
insertionSort	308491124	308491124	4835491	100000
selectionSort	499500	976	4013	1000
selectionSort	49995000	9820	383226	10000
selectionSort	704982704	98138	39729006	100000
selectionSort	499500	500	4096	1000
selectionSort	49995000	5000	395300	10000
selectionSort	704982704	50000	41129188	100000
selectionSort	499500	0	4012	1000
selectionSort	49995000	0	398972	10000
selectionSort	704982704	0	39268400	100000
selectionSort	499500	49	3944	1000
selectionSort	49995000	8593	383753	10000
selectionSort	704982704	5000	38577703	100000
shellSort	5457	4233	191	1000
shellSort	75243	62189	1587	10000
shellSort	967146	823116	18805	100000
shellSort	5457	4585	182	1000
shellSort	75243	64953	1466	10000
shellSort	967146	732029	16603	100000
shellSort	5457	0	131	1000
shellSort	75243	0	759	10000
shellSort	967146	0	8294	100000
shellSort	5457	2372	174	1000
shellSort	75243	43621	1452	10000
shellSort	967146	636306	17043	100000
mergeSort	9512	9250	396	1000
mergeSort	131328	127501	2868	10000
mergeSort	1665536	1617257	34617	100000
mergeSort	9512	9488	307	1000
mergeSort	131328	129520	2082	10000
mergeSort	1665536	1634464	24375	100000
mergeSort	9512	9000	241	1000
mergeSort	131328	125424	2088	10000
mergeSort	1665536	1600000	24809	100000
mergeSort	9512	9053	285	1000
mergeSort	131328	125803	2131	10000
mergeSort	1665536	1603161	25714	100000
quickSort	11418	6009	357	1000
quickSort	157993	80801	3074	10000
quickSort	2048120	1072366	34908	100000
quickSort	9028	4884	263	1000
quickSort	124099	66110	1782	10000
quickSort	1577627	835708	20460	100000
quickSort	8498	4449	205	1000
quickSort	119535	60517	1616	10000
quickSort	1534481	780565	19054	100000
quickSort	10415	6260	306	1000
quickSort	158399	91508	4939	10000
quickSort	2269316	1395205	31749	100000
